"","Study_ID","Site_ID","disturbance_type","Functional_group_size.y","Country","lat","lon"
"1","Ashton_2019a","Ashton_2019a_1","drought","mesofauna","Malaysia",4.74583333333333,116.972222222222
"2","Aslam_2015a","Aslam_2015a_1","precip_inc","mesofauna","Australia",-33.6108333333333,150.742222222222
"3","Aslam_2015a","Aslam_2015a_1","precip_inc","microfauna","Australia",-33.6108333333333,150.742222222222
"4","Aslam_2015a","Aslam_2015a_1","precip_inc","mesofauna","Australia",-33.6108333333333,150.742222222222
"5","Aupic_Samain_2021a","Aupic_Samain_2021a_1","drought","mesofauna","France",43.9652777777778,5.71166666666667
"6","Aupic_Samain_2021a","Aupic_Samain_2021a_2","drought","mesofauna","France",4.74583333333333,116.972222222222
"7","Aupic_Samain_2021a","Aupic_Samain_2021a_3","drought","mesofauna","France",56.55,13.2166666666667
"8","Aupic_Samain_2021a","Aupic_Samain_2021a_1","drought","mesofauna","France",43.9652777777778,5.71166666666667
"9","Aupic_Samain_2021a","Aupic_Samain_2021a_2","drought","mesofauna","France",4.74583333333333,116.972222222222
"10","Aupic_Samain_2021a","Aupic_Samain_2021a_3","drought","mesofauna","France",56.55,13.2166666666667
"11","Bakonyi_2007a","Bakonyi_2007a_1","drought","microfauna","Hungary",46.8833333333333,19.3833333333333
"12","Bakonyi_2007a","Bakonyi_2007a_1","drought","microfauna","Hungary",46.8833333333333,19.3833333333333
"13","Chikoski_2006a","Chikoski_2006a_1","precip_inc","mesofauna","Canada",52.1666666666667,106.683333333333
"14","Chikoski_2006a","Chikoski_2006a_1","precip_inc","mesofauna","Canada",52.1666666666667,106.683333333333
"15","Chikoski_2006a","Chikoski_2006a_1","precip_inc","mesofauna","Canada",52.1666666666667,106.683333333333
"16","Chikoski_2006a","Chikoski_2006a_1","precip_inc","mesofauna","Canada",52.1666666666667,106.683333333333
"17","Chikoski_2006a","Chikoski_2006a_1","precip_inc","mesofauna","Canada",52.1666666666667,106.683333333333
"18","Chikoski_2006a","Chikoski_2006a_1","precip_inc","mesofauna","Canada",52.1666666666667,106.683333333333
"19","Chikoski_2006a","Chikoski_2006a_1","precip_inc","mesofauna","Canada",52.1666666666667,106.683333333333
"20","Chikoski_2006a","Chikoski_2006a_1","precip_inc","mesofauna","Canada",52.1666666666667,106.683333333333
"21","Chikoski_2006a","Chikoski_2006a_1","precip_inc","mesofauna","Canada",52.1666666666667,106.683333333333
"22","Chikoski_2006a","Chikoski_2006a_1","precip_inc","mesofauna","Canada",52.1666666666667,106.683333333333
"23","Chikoski_2006a","Chikoski_2006a_1","precip_inc","mesofauna","Canada",52.1666666666667,106.683333333333
"24","Chikoski_2006a","Chikoski_2006a_1","precip_inc","mesofauna","Canada",52.1666666666667,106.683333333333
"25","Chikoski_2006a","Chikoski_2006a_1","precip_inc","mesofauna","Canada",52.1666666666667,106.683333333333
"26","Chikoski_2006a","Chikoski_2006a_1","precip_inc","mesofauna","Canada",52.1666666666667,106.683333333333
"27","Chikoski_2006a","Chikoski_2006a_1","precip_inc","mesofauna","Canada",52.1666666666667,106.683333333333
"28","Chikoski_2006a","Chikoski_2006a_1","precip_inc","macrofauna","Canada",52.1666666666667,106.683333333333
"29","Chikoski_2006a","Chikoski_2006a_1","precip_inc",NA,"Canada",52.1666666666667,106.683333333333
"30","Chikoski_2006a","Chikoski_2006a_1","precip_inc","macrofauna","Canada",52.1666666666667,106.683333333333
"31","Chikoski_2006a","Chikoski_2006a_1","precip_inc","mesofauna","Canada",52.1666666666667,106.683333333333
"32","Chikoski_2006a","Chikoski_2006a_1","precip_inc","mesofauna","Canada",52.1666666666667,106.683333333333
"33","Chikoski_2006a","Chikoski_2006a_1","precip_inc","mesofauna","Canada",52.1666666666667,106.683333333333
"34","Chikoski_2006a","Chikoski_2006a_1","precip_inc","mesofauna","Canada",52.1666666666667,106.683333333333
"35","Chikoski_2006a","Chikoski_2006a_1","precip_inc","mesofauna","Canada",52.1666666666667,106.683333333333
"36","Chikoski_2006a","Chikoski_2006a_1","precip_inc","mesofauna","Canada",52.1666666666667,106.683333333333
"37","Chikoski_2006a","Chikoski_2006a_1","precip_inc","mesofauna","Canada",52.1666666666667,106.683333333333
"38","Chikoski_2006a","Chikoski_2006a_1","precip_inc","mesofauna","Canada",52.1666666666667,106.683333333333
"39","Chikoski_2006a","Chikoski_2006a_1","precip_inc","mesofauna","Canada",52.1666666666667,106.683333333333
"40","Chikoski_2006a","Chikoski_2006a_1","precip_inc","mesofauna","Canada",52.1666666666667,106.683333333333
"41","Chikoski_2006a","Chikoski_2006a_1","precip_inc","mesofauna","Canada",52.1666666666667,106.683333333333
"42","Chikoski_2006a","Chikoski_2006a_1","precip_inc","mesofauna","Canada",52.1666666666667,106.683333333333
"43","Chikoski_2006a","Chikoski_2006a_1","precip_inc","mesofauna","Canada",52.1666666666667,106.683333333333
"44","Chikoski_2006a","Chikoski_2006a_1","precip_inc","mesofauna","Canada",52.1666666666667,106.683333333333
"45","Chikoski_2006a","Chikoski_2006a_1","precip_inc","mesofauna","Canada",52.1666666666667,106.683333333333
"46","Chikoski_2006a","Chikoski_2006a_1","precip_inc","mesofauna","Canada",52.1666666666667,106.683333333333
"47","Chikoski_2006a","Chikoski_2006a_1","precip_inc","mesofauna","Canada",52.1666666666667,106.683333333333
"48","Chikoski_2006a","Chikoski_2006a_1","precip_inc","mesofauna","Canada",52.1666666666667,106.683333333333
"49","Chikoski_2006a","Chikoski_2006a_1","precip_inc","mesofauna","Canada",52.1666666666667,106.683333333333
"50","Chikoski_2006a","Chikoski_2006a_1","precip_inc","mesofauna","Canada",52.1666666666667,106.683333333333
"51","Chikoski_2006a","Chikoski_2006a_1","precip_inc","mesofauna","Canada",52.1666666666667,106.683333333333
"52","Chikoski_2006a","Chikoski_2006a_1","precip_inc","mesofauna","Canada",52.1666666666667,106.683333333333
"53","Chikoski_2006a","Chikoski_2006a_1","precip_inc","macrofauna","Canada",52.1666666666667,106.683333333333
"54","Chikoski_2006a","Chikoski_2006a_1","precip_inc","macrofauna","Canada",52.1666666666667,106.683333333333
"55","Frew_2013a","Frew_2013a_1","precip_inc","microfauna","Australia",-33.6111111111111,150.740694444444
"56","Frew_2013a","Frew_2013a_1","precip_inc","macrofauna","Australia",-33.6111111111111,150.740694444444
"57","Homet_2021a","Homet_2021a_1","drought","mesofauna","Spain",36.568749,-5.53564
"58","Homet_2021a","Homet_2021a_1","drought","mesofauna","Spain",36.568749,-5.53564
"59","Homet_2021a","Homet_2021a_1","drought","mesofauna","Spain",36.568749,-5.53564
"60","Homet_2021a","Homet_2021a_1","drought","mesofauna","Spain",36.568749,-5.53564
"61","Homet_2021a","Homet_2021a_1","drought","mesofauna","Spain",36.568749,-5.53564
"62","Homet_2021a","Homet_2021a_1","drought","mesofauna","Spain",36.568749,-5.53564
"63","Homet_2021a","Homet_2021a_2","drought","mesofauna","Spain",36.568749,-5.53564
"64","Homet_2021a","Homet_2021a_2","drought","mesofauna","Spain",36.568749,-5.53564
"65","Homet_2021a","Homet_2021a_2","drought","mesofauna","Spain",36.568749,-5.53564
"66","Homet_2021a","Homet_2021a_2","drought","mesofauna","Spain",36.568749,-5.53564
"67","Homet_2021a","Homet_2021a_2","drought","mesofauna","Spain",36.568749,-5.53564
"68","Homet_2021a","Homet_2021a_2","drought","mesofauna","Spain",36.568749,-5.53564
"69","Homet_2021a","Homet_2021a_2","drought","mesofauna","Spain",36.568749,-5.53564
"70","Homet_2021a","Homet_2021a_2","drought","mesofauna","Spain",36.568749,-5.53564
"71","Johnson_2018a","Johnson_2018a_1","precip_inc","mesofauna","Australia",-33.6111111111111,150.740694444444
"72","Johnson_2018a","Johnson_2018a_1","precip_inc","macrofauna","Australia",-33.6111111111111,150.740694444444
"73","Johnson_2018a","Johnson_2018a_1","precip_inc","mesofauna","Australia",-33.6111111111111,150.740694444444
"74","Johnson_2018a","Johnson_2018a_1","precip_inc","macrofauna","Australia",-33.6111111111111,150.740694444444
"75","Johnson_2018a","Johnson_2018a_1","precip_inc","macrofauna","Australia",-33.6111111111111,150.740694444444
"76","Johnson_2018a","Johnson_2018a_1","precip_inc","microfauna","Australia",-33.6111111111111,150.740694444444
"77","Johnson_2018a","Johnson_2018a_1","precip_inc","mesofauna","Australia",-33.6111111111111,150.740694444444
"78","Krashevska_2012a","Krashevska_2012a_1","drought","microfauna","Ecuador",-3.975,-79.0736111111111
"79","Krashevska_2012a","Krashevska_2012a_1","drought","microfauna","Ecuador",-3.975,-79.0736111111111
"80","Krashevska_2012a","Krashevska_2012a_1","drought","microfauna","Ecuador",-3.975,-79.0736111111111
"81","Krashevska_2012a","Krashevska_2012a_2","drought","microfauna","Ecuador",-3.975,-79.0736111111111
"82","Krashevska_2012a","Krashevska_2012a_2","drought","microfauna","Ecuador",-3.975,-79.0736111111111
"83","Krashevska_2012a","Krashevska_2012a_3","drought","microfauna","Ecuador",-3.975,-79.0736111111111
"84","Krashevska_2012a","Krashevska_2012a_3","drought","microfauna","Ecuador",-3.975,-79.0736111111111
"85","Krashevska_2012a","Krashevska_2012a_3","drought","microfauna","Ecuador",-3.975,-79.0736111111111
"86","Krashevska_2012a","Krashevska_2012a_2","drought","mesofauna","Ecuador",-3.975,-79.0736111111111
"87","Krashevska_2012a","Krashevska_2012a_2","drought","mesofauna","Ecuador",-3.975,-79.0736111111111
"88","Kuperman_2002a","Kuperman_2002a_1","drought","mesofauna","USA",38.717428,-83.446694
"89","Kuperman_2002a","Kuperman_2002a_1","drought","mesofauna","USA",38.717428,-83.446694
"90","Kuperman_2002a","Kuperman_2002a_2","drought","mesofauna","USA",38.478637,-86.525409
"91","Kuperman_2002a","Kuperman_2002a_2","drought","mesofauna","USA",38.478637,-86.525409
"92","Kuperman_2002a","Kuperman_2002a_3","drought","mesofauna","USA",37.628727,-89.158503
"93","Kuperman_2002a","Kuperman_2002a_3","drought","mesofauna","USA",37.628727,-89.158503
"94","Landesman_2011a","Landesman_2011a_1","drought","microfauna","USA",39.957455,-74.627963
"95","Landesman_2011a","Landesman_2011a_1","precip_inc","microfauna","USA",39.957455,-74.627963
"96","Landesman_2011a","Landesman_2011a_1","precip_inc","microfauna","USA",39.957455,-74.627963
"97","Lensing_2005a","Lensing_2005a_1","drought","macrofauna","USA",37.719113,-84.338822
"98","Lensing_2005a","Lensing_2005a_1","drought","macrofauna","USA",37.719113,-84.338822
"99","Lensing_2005a","Lensing_2005a_1","drought","macrofauna","USA",37.719113,-84.338822
"100","Lensing_2005a","Lensing_2005a_1","drought","macrofauna","USA",37.719113,-84.338822
"101","Lensing_2005a","Lensing_2005a_1","precip_inc","macrofauna","USA",37.719113,-84.338822
"102","Lensing_2005a","Lensing_2005a_1","precip_inc","macrofauna","USA",37.719113,-84.338822
"103","Lensing_2005a","Lensing_2005a_1","precip_inc","macrofauna","USA",37.719113,-84.338822
"104","Lensing_2005a","Lensing_2005a_1","precip_inc","macrofauna","USA",37.719113,-84.338822
"105","Lensing_2005a","Lensing_2005a_1","precip_inc","mesofauna","USA",37.719113,-84.338822
"106","Lensing_2005a","Lensing_2005a_1","precip_inc","mesofauna","USA",37.719113,-84.338822
"107","Lensing_2005a","Lensing_2005a_1","precip_inc","mesofauna","USA",37.719113,-84.338822
"108","Lensing_2005a","Lensing_2005a_1","precip_inc","mesofauna","USA",37.719113,-84.338822
"109","Lindberg_2002a","Lindberg_2002a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"110","Lindberg_2002a","Lindberg_2002a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"111","Lindberg_2002a","Lindberg_2002a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"112","Lindberg_2002a","Lindberg_2002a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"113","Lindberg_2002a","Lindberg_2002a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"114","Lindberg_2002a","Lindberg_2002a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"115","Lindberg_2002a","Lindberg_2002a_1","drought","macrofauna","Sweden",56.55,13.2166666666667
"116","Lindberg_2002a","Lindberg_2002a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"117","Lindberg_2002a","Lindberg_2002a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"118","Lindberg_2002a","Lindberg_2002a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"119","Lindberg_2002a","Lindberg_2002a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"120","Lindberg_2002a","Lindberg_2002a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"121","Lindberg_2002a","Lindberg_2002a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"122","Lindberg_2002a","Lindberg_2002a_1","precip_inc","mesofauna","Sweden",56.55,13.2166666666667
"123","Lindberg_2002a","Lindberg_2002a_1","precip_inc","mesofauna","Sweden",56.55,13.2166666666667
"124","Lindberg_2002a","Lindberg_2002a_1","precip_inc","mesofauna","Sweden",56.55,13.2166666666667
"125","Lindberg_2002a","Lindberg_2002a_1","precip_inc","mesofauna","Sweden",56.55,13.2166666666667
"126","Lindberg_2002a","Lindberg_2002a_1","precip_inc","mesofauna","Sweden",56.55,13.2166666666667
"127","Lindberg_2002a","Lindberg_2002a_1","precip_inc","mesofauna","Sweden",56.55,13.2166666666667
"128","Lindberg_2002a","Lindberg_2002a_1","precip_inc","macrofauna","Sweden",56.55,13.2166666666667
"129","Lindberg_2002a","Lindberg_2002a_1","precip_inc","mesofauna","Sweden",56.55,13.2166666666667
"130","Lindberg_2002a","Lindberg_2002a_1","precip_inc","mesofauna","Sweden",56.55,13.2166666666667
"131","Lindberg_2002a","Lindberg_2002a_1","precip_inc","mesofauna","Sweden",56.55,13.2166666666667
"132","Lindberg_2002a","Lindberg_2002a_1","precip_inc","mesofauna","Sweden",56.55,13.2166666666667
"133","Lindberg_2002a","Lindberg_2002a_1","precip_inc","mesofauna","Sweden",56.55,13.2166666666667
"134","Lindberg_2002a","Lindberg_2002a_1","precip_inc","mesofauna","Sweden",56.55,13.2166666666667
"135","Lindberg_2004a","Lindberg_2004a_1","precip_inc","mesofauna","Sweden",64.1166666666667,19.45
"136","Lindberg_2004a","Lindberg_2004a_1","precip_inc","mesofauna","Sweden",64.1166666666667,19.45
"137","Lindberg_2004a","Lindberg_2004a_1","precip_inc","mesofauna","Sweden",64.1166666666667,19.45
"138","Lindberg_2004a","Lindberg_2004a_1","precip_inc","macrofauna","Sweden",64.1166666666667,19.45
"139","Lindberg_2004a","Lindberg_2004a_1","precip_inc","mesofauna","Sweden",64.1166666666667,19.45
"140","Lindberg_2004a","Lindberg_2004a_1","precip_inc","mesofauna","Sweden",64.1166666666667,19.45
"141","Lindberg_2004a","Lindberg_2004a_1","precip_inc","mesofauna","Sweden",64.1166666666667,19.45
"142","Lindberg_2004a","Lindberg_2004a_1","precip_inc","mesofauna","Sweden",64.1166666666667,19.45
"143","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"144","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"145","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"146","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"147","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"148","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"149","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"150","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"151","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"152","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"153","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"154","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"155","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"156","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"157","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"158","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"159","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"160","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"161","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"162","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"163","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"164","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"165","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"166","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"167","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"168","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"169","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"170","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"171","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"172","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"173","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"174","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"175","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"176","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"177","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"178","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"179","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"180","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"181","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"182","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"183","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"184","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"185","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"186","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
